Genotipo	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
G001	20.0912685313114	20.4552001955617	18.9638666287274	20.5440191024083	19.0755383043729	20.5251104788657	20.6150638588927	18.9496625331198	20.7710223541347	20.1972714139665	19.2262795911579	20.5305320011421	20.4915061219983	21.0724406744268	19.6884815846895	19.2068433657212	20.9512463461094	20.2741093039975	17.148332129956	19.2315051755967
G002	22.4894361402208	22.6159164612031	22.3180641324232	23.4643742198319	21.713426781312	22.6210815055242	23.2491244697223	23.0249146747943	22.3167099226774	23.1114226336489	19.744103976137	20.0280795943666	19.0511503729324	19.1723731772301	18.8857716124087	19.2095483100427	20.6494864044516	18.8394415956681	20.9216345690914	20.598290955967
G003	20.1189991832653	20.8523731603113	20.1346901955309	17.958188728186	18.7917288035923	18.7992582823767	18.6235556475743	18.9284390803357	20.5463760718987	19.5260320492503	19.2741804777011	18.4259986979825	17.7689656823552	18.2310127441101	19.4567973937401	19.5654657384201	17.4972205848394	20.6630658272055	19.7125414204202	20.6299498801666
G004	20.5354214812165	22.1608109465427	20.78488498054	20.4555221255471	20.1997025776067	20.0399483347231	19.9708008709684	20.6870348247574	19.0113042451085	21.1800724801215	21.3658834431034	19.4029202211311	20.6078835952248	18.6945395019428	21.1942376379194	20.3424935403115	19.607885232132	20.0996878967934	20.5211706076373	20.0938248841558
G005	21.5637746276355	20.7357404248995	19.2287506749329	21.0935482443211	20.912140683793	20.3647215976484	19.9151250383102	19.3097454822767	19.9311551701241	20.2238269432644	21.0805378972966	21.5085489792937	22.5799826137567	20.6506416324678	20.1981795819544	19.2850113462812	19.0042275629691	19.8475412065896	20.3287511488994	20.2138985247244
G006	20.6914772219336	21.6679660804268	20.7486748163567	19.6924470479522	20.0866463808114	19.0712812130837	20.583476378608	21.8736744334023	21.1308825548303	21.3567200019647	19.6320824070498	18.9638795754931	18.3816648066602	18.1377193733605	19.8175612702019	19.2856959619497	19.2681089358542	20.0033187028783	20.9832327941646	19.5669431765814
G007	17.6911508903429	16.7316943665517	16.3168251336581	16.7573983140187	17.4591328700882	18.4794845798252	16.881504128007	16.7777566532367	19.9109210243733	16.9190258243384	20.5223502447839	20.0099053808855	21.1318895125473	21.7204523379838	20.3070274475351	20.6143601571438	20.836096229138	19.780867321214	21.6665452819071	18.6222021339204
G008	20.3897605685679	20.1902949646727	21.6807223052059	19.4213878309528	20.3373803740891	21.1548291534297	20.7153419694821	19.9478574687321	20.8133153678983	21.7441194141774	18.90854332894	20.6004812624733	19.3414543035347	19.2009848197286	19.5948452294639	18.6872443380581	20.1182151857614	19.3500284996239	19.3155499033065	20.4298929451409
G009	15.7807385620818	19.4955322713461	18.2883891945259	19.3672169099843	19.357338470718	18.6860123793268	18.3894183463825	16.8635651020379	18.3547822191193	17.4673554881158	21.5292350387917	21.0492439896681	21.9587709381895	20.1084656687965	20.2772732873823	19.8999662220051	20.6869877189992	20.1029842741216	21.1431958478214	19.7999708710678
G010	21.8974777803813	23.6017369097184	21.1581945955657	24.6498874580555	20.4174631204048	21.5474881889578	22.9027956872632	21.7594802640954	24.1239779623976	23.1214445752246	20.6140563829089	20.0593176293952	20.5808338135598	21.1206099089784	21.0736048238735	21.7967929048362	21.0783605456148	20.9533932660929	21.5076110050456	19.6776969094417
G011	23.1027313085379	22.2753466390563	20.9165389318459	20.7625351791308	23.4060744247309	20.6383908263155	21.1806252235378	22.7346857053363	22.3583421666875	21.9384253758989	19.378639693595	18.8059692398623	20.9689290366217	19.964982463367	21.1265227690485	19.6125635706494	19.7507536621624	21.193601368858	20.4528643836358	19.5960526206629
G012	21.9256443043537	20.0667011165021	20.3422840591561	21.3680277226385	22.3296203209022	19.6738861653542	21.8055927142876	21.2100517279789	20.7840767046645	19.9681954442797	17.8925731921019	20.6308918745544	21.1811662365017	19.7574563278345	18.5501876275774	18.5800453113202	20.9215875881889	19.7844181225682	18.2702446312685	20.8246882805025
G013	19.8912827435733	17.5426644507446	19.2882347446014	17.2495903208379	19.4236897328196	18.217668141504	17.261948006097	19.1392193910262	20.4036909051295	18.470534939982	19.3995059926803	19.984272926811	21.2045247959487	19.2469158601816	21.6239047820104	19.0977470241879	19.2037461836139	20.2531630896009	19.0917291889809	21.1172391321667
G014	22.5220203944683	22.8009603999751	21.76279283998	22.4505319665211	25.5389467245663	22.4116914619805	22.2108352366666	22.1565211247896	20.8076849462231	23.4082534127888	20.5066731065807	20.9926644152778	18.8675841419204	19.3230359740041	19.9556700429843	20.8583414081241	19.5530085906147	19.45222744256	21.732567157546	21.1421549307962
G015	22.6476928051656	21.3470239602306	20.9481420702846	20.9048710455455	20.848137001667	20.6473070573553	20.9762093947702	20.536656847904	22.7313442703119	20.7655029284416	19.2070986544162	19.8342019563171	20.5095514291937	21.5845910263775	19.6027198656501	20.143948818294	19.3555171799102	20.2879258476898	19.0507830627471	18.2123268258591
G016	20.0192050717394	21.3727175764255	19.0515756587456	19.5430692598412	20.2187158035999	19.5020143946587	18.3807822142516	19.6165709900378	18.9085932587204	19.9457764281687	18.8632915958983	19.9949058367245	18.5497228926771	19.3987225428311	21.4887233332684	18.9115666849166	19.6219460715695	19.9474637036546	21.6437939154443	20.452186191828
G017	25.2218504923768	25.7046729160376	23.0336683729631	26.1455818319148	23.6259785759498	25.5438165625098	23.5039038817372	23.2770836181231	23.7702851067094	26.7273528613277	20.6789335549389	21.0705574496273	18.2049182701471	18.3675539122548	19.707831347386	19.8771587502645	21.5825877107576	20.5292321629283	20.398050366975	18.4677563022619
G018	21.8289095764926	23.0171251603469	23.2811664632672	23.5747961782283	27.0171466739334	21.4671940975482	22.2902908591624	22.9697744277158	21.6301088875307	23.5560035749136	21.4665018294422	21.8272385216963	19.061555388747	20.4961584905664	20.0675410151117	20.4150089911547	21.4300138492682	21.0953845065285	19.6675611029766	20.9675449556328
G019	20.3130433007696	22.1246325027377	20.1033067989029	17.3620917225534	20.4552560649967	19.617123418779	17.2377758212984	18.811259951619	18.7185475441796	17.1979529938804	19.9014216017431	18.2544021589325	18.2160092814977	19.8315338659876	19.8505268131396	20.3293234549769	21.2202762093692	20.4274354742084	20.2041317962455	19.5497962385747
G020	15.9991029589412	17.2779361379163	16.5193249265237	19.5673696369377	16.5691447350331	18.0301196890358	18.4960913823468	16.7081564618348	18.8255694216084	18.2912505359967	19.2555074030426	20.5776805327088	18.8485334623732	19.7222458367052	17.753386082854	19.9975743748631	20.9001054903294	19.5402548307649	18.8347260237693	19.6416626030835
G021	20.4615474932402	18.0092126143224	19.8252839881441	19.4735148994662	19.5763092585166	20.4851967173603	19.7297894647139	19.4057261380687	20.4384932869308	20.0682466814257	19.6625820647247	21.570991214803	21.8763865608022	18.636351448537	18.7880287544488	21.7100884598452	18.8881370202026	19.4655387390474	21.3824421272626	19.766263601313
G022	17.7165572002864	19.1582612809476	18.185675223544	17.8287695936104	16.8248687912868	16.533519582921	17.8466042118023	17.2794435541566	18.019433869992	19.3469673710027	19.56307146803	20.4868276402021	20.1745484785774	19.3942615664627	20.7252464628787	19.8128636951975	20.6166872254833	20.2545997002966	18.7252759322753	17.6520768279886
G023	19.0122381367662	20.3617612153047	21.3961037833534	18.7666534830684	21.8816677831423	20.5204342935503	19.9582902866887	20.6047903963216	19.6298417716969	18.2786010456	21.4601679671883	19.1990261503589	21.3530612464516	19.3556699294951	20.1761951353828	19.3762961656076	21.3094415114691	18.5108781634822	22.580911445838	21.1501630574336
