C1	C2	C3	C4
80	40	16	33
68	21	20	45
73	67	27	35
93	57	15	46
61	25	13	41
86	43	26	60
96	46	45	56
62	32	149	78
66	48	151	83
108	39	142	95
76	39	112	84
62	45	156	95
92	48	134	100
64	32	142	104
87	44	142	105
163	67	72	175
142	67	92	169
142	94	65	161
175	99	66	139
154	61	78	150
133	75	68	137
148	96	51	140
171	87	86	175
149	61	90	132
163	76	94	135
203	97	86	156
196	100	89	157
166	107	117	170
135	110	85	147
171	99	123	135
191	117	68	156
165	103	83	162
174	71	128	155
173	117	93	155
178	103	115	126
163	104	56	153
82	64	9	50
103	71	3	37
87	50	11	33
78	48	7	57
69	50	25	48
81	41	27	26
77	37	37	43
84	67	147	93
86	42	162	119
86	54	131	103
84	38	148	89
60	39	126	81
71	46	163	112
91	36	142	96
79	19	155	117
145	65	70	153
125	95	64	145
165	68	91	144
141	89	85	137
143	78	74	137
140	83	80	123
157	72	67	166
148	84	86	146
159	81	93	157
173	101	74	144
178	124	116	133
179	95	84	136
165	66	92	138
184	85	96	147
189	91	108	174
165	128	92	157
187	123	114	130
181	109	110	139
174	83	111	172
190	104	109	138
183	99	110	154
79	41	12	45
77	33	17	51
78	51	29	40
90	66	20	47
69	24	2	48
91	44	20	58
93	54	46	42
55	37	146	86
78	43	153	77
103	35	133	92
83	55	108	86
77	39	156	89
81	48	142	104
61	27	136	102
90	42	138	92
162	72	76	176
146	69	93	166
133	101	57	164
160	97	60	150
168	65	85	149
148	70	74	143
137	94	49	130
171	86	94	173
150	68	94	139
171	86	93	139
191	102	80	161
201	90	84	166
160	114	115	159
136	115	79	148
171	94	121	136
182	109	73	160
174	98	86	151
185	72	124	165
169	115	101	162
188	102	123	132
163	100	59	163
83	69	12	56
109	71	-1	34
96	46	9	28
89	49	13	60
78	48	26	51
78	39	12	24
80	28	30	38
83	75	134	97
78	41	160	113
83	56	134	86
83	33	156	89
64	27	133	84
76	44	167	108
84	37	139	92
88	30	153	117
151	67	73	153
127	91	73	152
156	63	108	148
149	93	83	131
147	72	73	129
144	83	79	127
158	65	72	164
144	88	88	145
152	83	103	153
164	103	84	145
183	129	118	140
186	98	79	133
173	71	90	132
182	87	98	155
189	92	102	165
164	125	89	157
188	119	109	117
188	106	111	141
173	88	104	169
176	103	106	148
177	99	104	149
78	43	16	43
60	32	20	41
71	57	29	38
92	60	25	46
58	23	9	47
79	42	16	61
104	58	43	51
61	23	156	86
81	45	157	76
93	36	140	90
83	44	118	81
77	38	158	92
94	58	133	94
60	21	137	91
83	37	138	91
158	67	79	177
148	59	91	167
136	97	62	161
166	89	55	142
162	62	75	157
117	73	67	133
137	93	52	131
176	88	85	170
145	70	98	132
164	74	86	128
182	105	77	168
195	102	90	159
162	114	111	167
137	121	80	145
174	102	133	139
179	116	68	138
180	104	85	165
190	62	136	159
160	116	91	153
192	101	112	124
154	96	56	150
85	71	3	55
108	70	-3	56
85	45	19	30
90	56	13	62
74	50	33	51
79	37	13	32
85	35	34	46
72	68	149	106
78	39	160	115
74	63	137	88
83	32	151	86
64	33	126	84
84	42	161	103
85	41	137	89
84	18	155	124
145	55	72	152
128	79	77	142
155	70	91	140
147	95	84	136
155	75	80	130
139	95	75	127
145	70	76	157
151	80	87	145
152	77	92	153
177	100	86	143
184	125	120	142
182	90	76	135
167	75	89	140
176	94	97	155
190	91	110	161
167	127	90	154
177	118	105	129
190	109	103	144
169	81	111	176
191	100	104	135
180	90	102	160
156	70	71	150
121	88	82	148
150	70	98	148
144	91	76	136
134	70	75	131
136	81	73	123
156	78	74	157
141	91	89	142
147	77	92	156
164	103	82	142
183	128	118	147
183	97	80	131
166	73	86	137
189	93	95	155
191	81	109	157
169	127	80	155
155	65	78	157
119	88	74	147
146	71	92	152
150	97	84	140
143	70	73	138
133	81	77	130
148	72	79	153
144	82	82	148
154	84	99	157
167	103	84	142
188	126	108	141
185	94	83	140
170	74	93	136
181	91	102	152
181	90	103	174
168	137	88	151
162	60	73	144
121	88	74	148
151	62	95	141
148	95	79	137
144	71	75	131
134	80	86	113
157	69	78	154
144	83	77	145
156	88	96	153
159	93	86	148
181	122	115	143
182	94	82	133
170	70	91	131
182	87	87	156
193	81	106	169
169	124	80	152
165	67	72	154
128	80	78	146
152	66	89	151
155	86	80	134
148	70	77	133
148	83	75	122
152	64	78	153
150	88	86	142
153	75	99	157
168	106	70	153
185	122	113	138
191	89	80	134
182	80	96	144
188	100	103	152
175	90	107	164
180	122	90	157
156	60	76	150
130	83	77	145
155	69	98	145
156	97	81	137
159	78	72	134
141	88	76	128
157	68	76	156
142	85	84	140
155	88	94	163
167	102	77	154
171	124	106	133
183	88	74	145
173	76	90	139
186	100	97	155
188	91	117	164
174	121	87	145
148	62	74	149
127	93	80	150
159	67	93	152
154	89	79	128
142	64	74	137
153	92	80	122
154	65	66	153
137	81	78	147
156	87	92	155
165	106	87	143
171	127	105	143
185	87	77	135
163	75	96	142
181	91	99	159
181	92	111	169
172	130	88	153
145	65	74	152
120	77	76	137
164	72	101	148
151	92	85	133
146	63	67	132
135	76	88	123
156	66	72	156
136	82	81	148
146	75	93	148
165	101	79	143
181	121	105	130
192	94	85	133
185	67	90	140
183	92	103	148
188	92	100	171
178	123	90	153
149	63	73	151
119	86	78	139
165	64	95	140
148	94	83	138
145	63	68	137
139	87	75	129
152	59	73	153
145	90	85	145
159	86	87	157
166	97	75	147
176	119	103	139
187	90	80	136
179	66	94	142
183	87	96	159
190	83	115	165
173	119	83	148
146	64	67	157
132	83	73	150
149	60	103	144
157	86	83	137
148	68	64	137
138	86	84	124
154	75	69	155
121	84	81	142
144	81	87	153
161	100	79	146
185	126	112	139
186	88	86	136
170	79	91	139
180	92	93	161
176	99	107	162
169	126	91	156
150	63	74	152
126	85	78	147
162	65	98	151
140	97	80	129
138	78	70	137
142	80	73	128
157	75	66	156
145	88	86	143
156	88	98	156
171	99	80	147
174	129	110	143
189	92	82	137
171	73	86	137
179	84	96	151
186	93	108	165
166	130	92	157
152	59	74	144
129	91	63	148
159	74	102	145
140	102	79	141
152	64	74	138
146	77	79	122
152	73	70	153
144	77	88	143
151	73	97	155
159	105	78	154
187	130	114	146
178	92	93	140
169	70	89	139
177	93	101	165
191	87	107	171
171	122	94	161
144	57	74	153
126	97	82	147
157	63	96	143
142	98	82	134
153	70	71	131
142	86	80	122
151	72	76	155
134	78	84	147
